"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年2月15日","114.96","115.50","115.70","114.03","6.35M","-0.65%"
"2013年2月14日","115.71","115.16","116.26","115.06","5.23M","0.16%"
"2013年2月13日","115.53","115.43","115.84","114.91","4.11M","-0.83%"
"2013年2月12日","116.50","115.72","116.83","115.51","4.53M","0.74%"
"2013年2月11日","115.64","115.68","115.84","115.01","3.77M","0.00%"
"2013年2月8日","115.64","114.93","115.78","114.90","4.46M","0.54%"
"2013年2月7日","115.02","115.99","116.00","114.33","5.42M","-0.77%"
"2013年2月6日","115.91","115.43","115.92","114.85","4.46M","0.09%"
"2013年2月5日","115.81","115.74","116.38","115.51","5.07M","0.53%"
"2013年2月4日","115.20","115.02","115.89","114.29","6.40M","-1.12%"
"2013年2月1日","116.50","115.84","116.69","115.05","6.42M","1.17%"
"2013年1月31日","115.15","116.22","116.90","115.15","7.78M","-1.12%"
"2013年1月30日","116.45","117.07","117.50","116.26","5.17M","-0.65%"
"2013年1月29日","117.21","116.28","117.40","116.25","4.37M","1.01%"
"2013年1月28日","116.04","116.56","116.58","115.41","4.52M","-0.14%"
"2013年1月25日","116.20","115.52","116.38","115.15","4.75M","0.61%"
"2013年1月24日","115.50","115.49","116.37","115.28","4.90M","0.43%"
"2013年1月23日","115.01","115.35","115.90","114.93","5.03M","-0.78%"
"2013年1月22日","115.91","115.11","115.94","114.53","5.40M","0.58%"
"2013年1月18日","115.24","115.23","115.24","114.06","8.54M","0.44%"
"2013年1月17日","114.74","114.73","115.86","114.59","6.97M","0.68%"
"2013年1月16日","113.97","113.31","114.33","113.17","6.15M","0.47%"
"2013年1月15日","113.44","112.26","113.47","112.15","5.64M","0.52%"
"2013年1月14日","112.85","111.38","112.95","111.35","6.37M","1.00%"
"2013年1月11日","111.73","111.20","112.08","110.80","5.46M","1.14%"
"2013年1月10日","110.47","110.19","110.76","110.09","5.28M","0.85%"
"2013年1月9日","109.54","109.72","110.08","109.20","4.56M","0.26%"
"2013年1月8日","109.26","109.48","109.69","109.10","6.33M","-0.45%"
"2013年1月7日","109.75","110.02","110.09","109.19","4.86M","-0.68%"
"2013年1月4日","110.50","109.99","110.62","109.90","4.41M","0.53%"
"2013年1月3日","109.92","110.14","110.92","109.51","6.82M","-0.43%"
"2013年1月2日","110.39","110.27","110.42","108.74","6.14M","2.08%"
"2012年12月31日","108.14","105.75","108.23","105.75","6.55M","1.59%"
"2012年12月28日","106.45","107.68","107.78","106.30","5.28M","-1.91%"
"2012年12月27日","108.52","108.46","108.86","107.27","5.53M","0.06%"
"2012年12月26日","108.46","109.10","109.27","108.21","4.09M","-0.16%"
"2012年12月24日","108.63","109.30","109.39","108.48","2.29M","-0.98%"
"2012年12月21日","109.71","109.57","110.30","108.56","15.62M","-0.61%"
"2012年12月20日","110.38","110.00","110.67","109.65","5.88M","0.43%"
"2012年12月19日","109.91","110.47","111.11","109.89","7.62M","-0.17%"
"2012年12月18日","110.10","108.54","110.40","108.32","7.10M","1.31%"
"2012年12月17日","108.68","107.97","108.84","107.94","6.10M","0.80%"
"2012年12月14日","107.82","107.61","108.39","107.40","5.89M","-0.08%"
"2012年12月13日","107.91","108.54","108.54","107.46","4.91M","-0.16%"
"2012年12月12日","108.08","108.17","109.18","107.92","5.97M","0.32%"
"2012年12月11日","107.74","107.29","108.23","107.15","5.92M","0.73%"
"2012年12月10日","106.96","107.10","107.69","106.47","5.51M","-0.03%"
"2012年12月7日","106.99","106.73","107.00","106.14","4.95M","0.51%"
"2012年12月6日","106.45","105.49","106.50","105.29","7.39M","1.22%"
"2012年12月5日","105.17","104.38","105.81","104.00","6.43M","1.16%"
"2012年12月4日","103.96","104.40","105.09","103.94","6.67M","-0.67%"
"2012年12月3日","104.66","106.00","106.07","104.38","5.74M","-0.97%"
"2012年11月30日","105.69","106.10","106.37","105.27","6.68M","-0.09%"
"2012年11月29日","105.79","105.89","106.69","105.38","5.76M","0.20%"
"2012年11月28日","105.58","102.98","105.62","102.76","7.03M","2.13%"
"2012年11月27日","103.38","105.00","105.16","103.20","6.61M","-1.53%"
"2012年11月26日","104.99","104.75","104.99","104.25","4.35M","-0.46%"
"2012年11月23日","105.47","104.87","105.47","104.46","2.78M","1.32%"
"2012年11月21日","104.10","103.95","104.12","103.41","3.66M","0.52%"
"2012年11月20日","103.56","104.01","104.12","102.92","5.28M","-0.76%"
"2012年11月19日","104.35","103.67","104.35","103.14","6.85M","1.90%"
"2012年11月16日","102.40","101.56","102.49","101.00","8.24M","0.77%"
"2012年11月15日","101.62","101.99","103.47","100.66","9.78M","-0.86%"
"2012年11月14日","102.50","104.99","105.01","102.22","8.61M","-2.64%"
"2012年11月13日","105.28","105.37","106.45","105.20","4.84M","-0.61%"
"2012年11月12日","105.93","106.45","106.52","105.49","4.00M","0.09%"
