"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2012年2月23日","178.89","179.64","180.75","176.96","5.16M","-0.94%"
"2012年2月22日","180.58","181.95","182.99","180.29","5.79M","-0.92%"
"2012年2月21日","182.26","182.65","184.75","180.58","6.76M","-0.13%"
"2012年2月17日","182.50","180.09","183.41","179.36","7.42M","1.43%"
"2012年2月16日","179.93","177.79","181.68","175.14","12.57M","-2.46%"
"2012年2月15日","184.47","191.29","191.54","183.26","7.80M","-3.57%"
"2012年2月14日","191.30","191.08","193.57","186.10","9.53M","-0.15%"
"2012年2月13日","191.59","187.17","192.50","185.68","6.07M","3.26%"
"2012年2月10日","185.54","183.42","187.63","182.52","5.80M","0.30%"
"2012年2月9日","184.98","184.50","185.69","181.76","7.19M","-0.27%"
"2012年2月8日","185.48","184.95","186.49","182.91","5.48M","0.70%"
"2012年2月7日","184.19","182.65","184.94","182.06","5.10M","0.57%"
"2012年2月6日","183.14","186.28","186.56","182.92","5.31M","-2.42%"
"2012年2月3日","187.68","182.83","187.90","181.89","8.12M","3.28%"
"2012年2月2日","181.72","179.65","181.94","176.80","8.74M","1.26%"
"2012年2月1日","179.46","173.81","179.95","172.00","21.34M","-7.70%"
"2012年1月31日","194.44","194.00","195.63","189.70","12.77M","1.19%"
"2012年1月30日","192.15","193.68","195.00","190.13","5.43M","-1.65%"
"2012年1月27日","195.37","193.09","196.50","192.33","4.66M","1.06%"
"2012年1月26日","193.32","189.30","194.85","188.73","5.88M","2.94%"
"2012年1月25日","187.80","186.99","188.17","184.61","4.31M","0.43%"
"2012年1月24日","187.00","185.00","188.41","183.82","4.68M","0.49%"
"2012年1月23日","186.09","190.79","191.73","185.23","4.59M","-2.53%"
"2012年1月20日","190.93","190.71","192.90","189.04","5.61M","-1.81%"
"2012年1月19日","194.45","190.88","195.94","190.36","7.10M","2.64%"
"2012年1月18日","189.44","181.94","190.25","181.12","7.48M","4.28%"
"2012年1月17日","181.66","180.15","183.30","178.51","5.65M","1.82%"
