"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年7月22日","194.09","193.40","195.79","193.28","3.40M","0.28%"
"2013年7月19日","193.54","197.91","197.99","193.24","7.00M","-2.25%"
"2013年7月18日","197.99","198.27","200.94","195.99","8.39M","1.77%"
"2013年7月17日","194.55","194.72","194.89","193.03","6.87M","0.36%"
"2013年7月16日","193.85","194.04","194.58","192.69","3.75M","-0.08%"
"2013年7月15日","194.00","192.42","194.89","191.68","5.68M","1.00%"
"2013年7月12日","192.07","193.07","193.70","191.59","4.50M","-0.38%"
"2013年7月11日","192.80","193.78","194.11","192.61","4.18M","0.29%"
"2013年7月10日","192.25","191.51","193.43","191.27","3.89M","0.50%"
"2013年7月9日","191.30","191.88","192.80","190.78","5.20M","-1.89%"
"2013年7月8日","194.98","195.60","195.78","194.61","2.95M","0.03%"
"2013年7月5日","194.93","194.49","195.16","192.35","2.41M","0.87%"
"2013年7月3日","193.25","190.98","194.22","190.51","1.88M","0.91%"
"2013年7月2日","191.50","190.78","193.23","190.26","3.66M","0.12%"
"2013年7月1日","191.28","192.15","193.80","191.12","4.44M","0.09%"
"2013年6月28日","191.11","191.73","192.66","188.41","10.06M","-2.32%"
"2013年6月27日","195.65","196.05","196.90","195.29","3.52M","0.41%"
"2013年6月26日","194.86","195.97","196.23","194.50","3.32M","-0.06%"
"2013年6月25日","194.98","195.31","195.59","193.15","3.85M","0.74%"
"2013年6月24日","193.54","193.99","194.91","191.34","4.36M","-0.98%"
"2013年6月21日","195.46","198.50","198.52","193.54","8.92M","-0.96%"
"2013年6月20日","197.35","200.67","201.70","197.28","4.52M","-2.27%"
"2013年6月19日","201.94","204.44","205.03","201.93","2.85M","-1.43%"
"2013年6月18日","204.87","203.02","206.09","202.87","3.28M","0.90%"
"2013年6月17日","203.04","203.44","205.17","202.55","3.22M","0.42%"
"2013年6月14日","202.20","203.97","204.75","201.81","2.80M","-0.77%"
"2013年6月13日","203.77","201.01","204.40","200.34","2.90M","1.28%"
"2013年6月12日","201.20","204.59","205.23","200.51","3.41M","-1.36%"
"2013年6月11日","203.98","203.17","205.95","202.51","2.81M","-0.51%"
"2013年6月10日","205.02","206.97","206.98","204.90","2.65M","-0.64%"
"2013年6月7日","206.35","204.85","206.35","204.11","2.95M","1.25%"
"2013年6月6日","203.80","203.00","204.20","201.47","3.68M","0.52%"
"2013年6月5日","202.74","205.16","206.29","202.40","4.22M","-1.67%"
"2013年6月4日","206.19","208.60","209.00","205.08","3.60M","-1.32%"
"2013年6月3日","208.95","208.25","210.05","207.33","3.32M","0.45%"
"2013年5月31日","208.02","208.59","211.98","208.02","4.95M","-0.64%"
"2013年5月30日","209.36","206.97","210.99","206.97","4.40M","0.69%"
"2013年5月29日","207.92","206.22","208.42","206.04","3.44M","0.07%"
"2013年5月28日","207.78","207.44","208.59","207.16","4.01M","1.00%"
"2013年5月24日","205.72","204.69","206.43","204.42","3.30M","-0.21%"
"2013年5月23日","206.16","205.48","208.61","205.13","5.18M","-0.40%"
"2013年5月22日","206.99","208.50","210.15","206.12","5.19M","-0.80%"
"2013年5月21日","208.65","207.24","209.48","207.00","2.98M","0.51%"
"2013年5月20日","207.60","208.02","209.15","207.42","3.61M","-0.40%"
"2013年5月17日","208.44","205.25","209.50","204.99","5.70M","1.83%"
"2013年5月16日","204.69","204.00","206.59","204.00","4.51M","0.67%"
"2013年5月15日","203.32","202.25","203.68","202.04","4.03M","0.05%"
"2013年5月14日","203.21","202.09","203.67","202.08","3.70M","0.37%"
"2013年5月13日","202.47","204.18","204.47","202.22","3.65M","-0.98%"
"2013年5月10日","204.47","203.37","204.53","202.82","3.28M","0.61%"
"2013年5月9日","203.24","204.69","205.00","202.72","3.54M","-0.77%"
"2013年5月8日","204.82","202.94","204.85","202.51","3.60M","0.58%"
"2013年5月7日","203.63","202.81","203.73","201.65","3.45M","0.42%"
"2013年5月6日","202.78","203.79","203.99","201.52","4.83M","-0.85%"
"2013年5月3日","204.51","203.94","205.32","203.75","4.49M","1.05%"
"2013年5月2日","202.39","200.12","202.43","199.75","3.95M","1.38%"
"2013年5月1日","199.63","201.87","202.17","199.20","4.90M","-1.44%"
"2013年4月30日","202.54","199.13","202.59","197.35","7.54M","1.70%"
"2013年4月29日","199.15","194.78","199.68","194.65","5.94M","2.49%"
"2013年4月26日","194.31","194.16","194.71","193.25","3.49M","0.19%"
"2013年4月25日","193.95","192.69","195.17","192.32","4.65M","1.17%"
"2013年4月24日","191.71","192.16","192.50","191.09","3.69M","0.05%"
"2013年4月23日","191.61","189.27","192.56","188.61","6.30M","2.01%"
"2013年4月22日","187.83","191.15","191.38","187.68","9.85M","-1.14%"
"2013年4月19日","190.00","195.74","196.50","189.76","18.85M","-8.28%"
"2013年4月18日","207.15","210.11","210.25","206.15","6.50M","-1.20%"
"2013年4月17日","209.67","210.53","211.09","209.50","3.27M","-1.10%"
"2013年4月16日","212.00","210.84","212.00","209.20","2.86M","1.31%"
"2013年4月15日","209.26","210.44","211.69","209.26","4.22M","-1.00%"
"2013年4月12日","211.38","210.79","211.49","209.78","3.17M","-0.72%"
"2013年4月11日","212.92","211.50","213.09","210.85","3.66M","0.43%"
"2013年4月10日","212.00","211.86","212.51","210.47","3.52M","1.33%"
"2013年4月9日","209.22","209.56","210.00","208.61","2.58M","-0.05%"
"2013年4月8日","209.32","209.07","209.32","207.33","2.35M","-0.04%"
"2013年4月5日","209.41","209.10","209.84","206.34","4.15M","-0.90%"
"2013年4月4日","211.31","212.77","212.93","210.04","3.71M","-0.63%"
"2013年4月3日","212.66","214.32","214.89","212.63","3.13M","-0.79%"
"2013年4月2日","214.36","212.92","214.71","211.57","3.12M","0.93%"
"2013年4月1日","212.38","212.80","213.50","211.25","2.14M","-0.43%"
"2013年3月28日","213.30","209.83","213.44","209.74","3.75M","1.14%"
"2013年3月27日","210.89","210.96","212.16","210.10","3.22M","-0.69%"
"2013年3月26日","212.36","211.77","212.50","211.50","2.30M","0.77%"
"2013年3月25日","210.74","212.54","212.81","210.05","3.24M","-0.63%"
"2013年3月22日","212.08","212.21","213.17","211.62","3.03M","-0.08%"
"2013年3月21日","212.26","212.96","213.00","210.11","5.83M","-1.30%"
"2013年3月20日","215.06","214.76","215.82","214.30","3.02M","0.76%"
"2013年3月19日","213.44","214.13","215.12","211.83","3.20M","0.11%"
