"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2008年6月18日","182.77","176.66","185.35","175.56","16.22M","1.86%"
"2008年6月17日","179.44","185.04","185.89","179.14","24.43M","-1.46%"
"2008年6月16日","182.09","177.74","184.75","176.61","16.38M","2.13%"
"2008年6月13日","178.29","169.47","178.56","169.40","14.34M","6.92%"
"2008年6月12日","166.75","163.24","169.69","163.24","11.77M","2.68%"
"2008年6月11日","162.40","167.00","167.25","161.21","16.47M","-2.88%"
"2008年6月10日","167.21","163.75","169.43","163.21","11.02M","0.87%"
"2008年6月9日","165.76","170.85","172.68","163.35","13.00M","-2.17%"
"2008年6月6日","169.44","175.07","175.07","169.44","10.56M","-4.05%"
"2008年6月5日","176.60","173.21","177.44","173.19","9.72M","2.61%"
"2008年6月4日","172.10","170.00","175.56","169.55","10.78M","0.89%"
"2008年6月3日","170.58","173.35","173.66","167.60","13.31M","-1.02%"
"2008年6月2日","172.34","177.00","177.70","170.81","9.85M","-2.31%"
"2008年5月30日","176.41","177.80","178.86","175.85","5.70M","0.10%"
"2008年5月29日","176.24","174.49","179.50","174.00","7.76M","0.81%"
"2008年5月28日","174.83","174.76","175.93","172.21","7.25M","0.52%"
"2008年5月27日","173.92","171.76","174.70","170.80","8.42M","0.74%"
"2008年5月23日","172.64","176.01","176.50","171.23","8.15M","-2.57%"
"2008年5月22日","177.20","176.20","179.92","175.00","8.68M","-0.78%"
"2008年5月21日","178.60","182.55","183.66","178.01","9.07M","-2.10%"
"2008年5月20日","182.43","183.33","184.90","181.25","6.89M","-1.07%"
"2008年5月19日","184.40","185.67","189.32","183.47","7.01M","-1.46%"
"2008年5月16日","187.14","189.55","189.61","186.00","6.15M","-0.78%"
"2008年5月15日","188.62","189.78","189.80","185.32","8.02M","-0.79%"
"2008年5月14日","190.13","190.60","192.49","189.34","5.03M","-0.11%"
"2008年5月13日","190.33","191.18","193.00","189.02","5.78M","-0.91%"
"2008年5月12日","192.08","189.45","192.70","187.34","5.66M","2.12%"
"2008年5月9日","188.09","186.02","189.98","185.69","6.47M","0.20%"
"2008年5月8日","187.72","190.75","191.39","185.26","9.87M","-1.08%"
"2008年5月7日","189.76","197.60","198.44","189.54","7.08M","-3.97%"
"2008年5月6日","197.61","194.60","199.25","193.11","7.51M","0.25%"
"2008年5月5日","197.12","198.61","201.12","196.15","6.39M","-1.57%"
"2008年5月2日","200.27","203.39","203.39","198.00","9.44M","0.61%"
"2008年5月1日","199.05","191.77","199.19","190.85","9.48M","4.01%"
"2008年4月30日","191.37","193.38","194.93","189.82","10.35M","-0.68%"
"2008年4月29日","192.68","190.25","192.68","188.25","7.13M","1.28%"
"2008年4月28日","190.24","192.49","192.50","189.89","6.26M","-0.92%"
"2008年4月25日","192.00","190.26","192.49","188.37","12.19M","1.70%"
"2008年4月24日","188.79","180.34","189.39","179.36","13.19M","5.26%"
"2008年4月23日","179.35","180.84","183.20","178.00","7.44M","-0.23%"
"2008年4月22日","179.76","179.78","181.37","178.50","6.13M","-0.35%"
"2008年4月21日","180.40","179.57","181.75","178.29","7.82M","0.26%"
"2008年4月18日","179.93","176.91","183.03","176.91","16.88M","4.55%"
"2008年4月17日","172.10","167.74","173.50","167.10","8.73M","1.80%"
"2008年4月16日","169.05","166.15","169.17","165.91","9.34M","2.95%"
"2008年4月15日","164.20","165.06","165.95","161.68","9.14M","0.37%"
"2008年4月14日","163.59","166.45","167.55","163.35","9.86M","-2.22%"
"2008年4月11日","167.30","168.00","171.87","166.87","11.36M","-1.91%"
"2008年4月10日","170.55","173.90","173.90","168.87","14.75M","-2.06%"
"2008年4月9日","174.14","178.25","178.90","173.15","11.43M","-2.66%"
"2008年4月8日","178.90","177.30","181.50","176.76","8.63M","0.10%"
"2008年4月7日","178.73","178.56","181.75","176.93","10.29M","1.90%"
"2008年4月4日","175.40","176.55","179.33","174.00","8.50M","-0.64%"
"2008年4月3日","176.53","174.79","179.15","172.88","10.76M","-0.19%"
"2008年4月2日","176.87","177.00","181.62","176.10","12.05M","0.01%"
"2008年4月1日","176.86","171.49","176.99","170.21","14.70M","6.94%"
"2008年3月31日","165.39","164.17","168.49","162.85","8.98M","0.57%"
"2008年3月28日","164.45","169.57","170.50","163.39","11.98M","-2.19%"
"2008年3月27日","168.14","176.61","177.24","167.38","15.20M","-4.18%"
"2008年3月26日","175.48","178.49","179.05","174.33","11.61M","-2.31%"
"2008年3月25日","179.63","177.51","182.65","177.14","11.67M","0.42%"
"2008年3月24日","178.88","179.00","184.52","176.15","15.65M","-0.42%"
"2008年3月20日","179.63","166.30","180.36","166.21","20.81M","7.89%"
"2008年3月19日","166.49","177.94","178.46","165.40","24.18M","-5.18%"
"2008年3月18日","175.59","164.96","175.88","159.76","43.28M","16.27%"
"2008年3月17日","151.02","142.03","154.12","140.27","38.66M","-3.72%"
"2008年3月14日","156.86","167.00","167.80","155.00","27.11M","-5.19%"
"2008年3月13日","165.44","160.44","167.30","156.76","18.62M","1.49%"
"2008年3月12日","163.01","164.03","170.06","162.61","14.45M","-0.04%"
"2008年3月11日","163.07","161.90","164.84","157.50","20.53M","4.81%"
"2008年3月10日","155.58","159.99","164.78","155.23","13.73M","-2.81%"
"2008年3月7日","160.07","157.00","163.32","157.00","15.23M","0.90%"
"2008年3月6日","158.65","162.95","163.59","158.13","15.13M","-3.83%"
"2008年3月5日","164.97","163.91","168.31","162.67","13.28M","0.84%"
"2008年3月4日","163.60","163.61","166.44","160.20","17.89M","-0.90%"
"2008年3月3日","165.08","169.29","169.29","164.31","11.92M","-2.68%"
"2008年2月29日","169.63","174.39","175.54","169.00","11.12M","-4.00%"
"2008年2月28日","176.70","180.28","180.28","175.57","8.83M","-2.27%"
"2008年2月27日","180.80","171.84","181.28","171.51","15.91M","4.69%"
"2008年2月26日","172.70","175.48","178.00","171.87","11.52M","-2.63%"
"2008年2月25日","177.36","175.35","178.00","172.07","12.85M","-0.20%"
"2008年2月22日","177.71","175.55","178.00","171.39","9.63M","1.45%"
"2008年2月21日","175.17","178.50","179.20","174.72","8.21M","-1.17%"
"2008年2月20日","177.25","171.97","178.85","171.82","10.80M","1.99%"
"2008年2月19日","173.80","180.31","181.37","172.68","10.37M","-2.58%"
"2008年2月15日","178.41","175.10","178.79","173.37","12.45M","1.05%"
"2008年2月14日","176.56","178.50","181.10","176.50","11.00M","-2.01%"
"2008年2月13日","180.18","180.29","181.73","176.50","13.94M","-0.26%"
"2008年2月12日","180.65","186.18","186.25","178.50","18.40M","-2.81%"
"2008年2月11日","185.87","187.87","190.00","185.50","8.88M","-0.64%"
"2008年2月8日","187.07","189.00","190.64","185.70","7.87M","-1.78%"
"2008年2月7日","190.46","185.77","193.77","185.32","10.84M","1.76%"
"2008年2月6日","187.17","191.48","192.85","186.25","9.96M","-1.42%"
"2008年2月5日","189.86","194.66","197.31","189.61","13.28M","-5.45%"
"2008年2月4日","200.80","207.84","208.00","199.20","9.08M","-3.36%"
"2008年2月1日","207.78","199.15","208.78","198.00","12.21M","4.12%"
"2008年1月31日","199.55","196.45","203.21","195.00","14.81M","0.50%"
"2008年1月30日","198.55","195.27","205.97","193.40","17.60M","1.28%"
"2008年1月29日","196.05","197.04","198.36","194.07","7.16M","-0.10%"
"2008年1月28日","196.25","190.62","196.46","190.62","10.22M","2.55%"
"2008年1月25日","191.37","201.51","202.00","189.91","14.02M","-3.93%"
"2008年1月24日","199.20","200.10","201.00","194.20","11.99M","-0.10%"
"2008年1月23日","199.39","186.04","199.97","184.59","17.64M","4.56%"
"2008年1月22日","190.69","178.17","192.83","174.05","19.04M","1.86%"
"2008年1月18日","187.21","192.17","193.39","184.60","14.98M","-1.97%"
"2008年1月17日","190.98","198.29","199.50","189.66","12.29M","-3.30%"
"2008年1月16日","197.50","193.31","201.78","192.40","13.03M","2.18%"
"2008年1月15日","193.29","199.55","199.55","192.36","11.30M","-4.15%"
"2008年1月14日","201.65","200.17","202.22","199.03","9.40M","1.46%"
"2008年1月11日","198.74","196.96","200.68","194.57","12.40M","0.93%"
"2008年1月10日","196.91","189.35","199.40","187.04","14.83M","2.69%"
"2008年1月9日","191.75","189.04","192.20","183.70","15.91M","1.19%"
"2008年1月8日","189.50","195.81","199.50","189.00","13.56M","-2.69%"
"2008年1月7日","194.73","200.23","200.25","189.99","16.04M","-2.60%"
"2008年1月4日","199.93","201.00","204.00","198.29","10.16M","-2.40%"
"2008年1月3日","204.84","208.92","209.04","204.14","7.75M","-1.33%"
"2008年1月2日","207.60","214.80","215.05","206.60","9.58M","-3.46%"
"2007年12月31日","215.05","211.59","216.79","209.50","5.83M","1.47%"
"2007年12月28日","211.94","214.45","214.77","211.81","4.21M","-0.00%"
"2007年12月27日","211.95","214.88","217.80","211.95","5.31M","-2.19%"
"2007年12月26日","216.69","214.09","217.37","211.55","4.29M","1.11%"
"2007年12月24日","214.32","211.00","214.95","210.70","3.42M","2.25%"
"2007年12月21日","209.60","205.85","210.25","205.02","10.86M","3.42%"
"2007年12月20日","202.67","206.06","206.72","200.65","10.11M","-0.73%"
"2007年12月19日","204.16","202.68","206.10","200.64","11.90M","1.32%"
"2007年12月18日","201.51","209.80","210.53","196.90","30.02M","-3.41%"
"2007年12月17日","208.63","209.76","211.81","207.00","13.33M","-0.97%"
"2007年12月14日","210.67","208.74","215.20","207.70","10.35M","1.05%"
"2007年12月13日","208.48","209.85","214.24","204.94","17.28M","-1.93%"
"2007年12月12日","212.58","217.05","220.85","208.50","18.05M","0.68%"
"2007年12月11日","211.15","224.11","227.45","210.69","12.79M","-5.82%"
"2007年12月10日","224.21","219.19","224.31","218.01","8.41M","2.90%"
"2007年12月7日","217.89","223.01","224.04","217.03","7.80M","-2.08%"
"2007年12月6日","222.51","214.50","223.35","214.29","9.99M","1.95%"
"2007年12月5日","218.26","219.46","220.00","214.23","12.96M","1.41%"
"2007年12月4日","215.22","221.06","223.46","215.22","10.74M","-5.14%"
"2007年12月3日","226.89","226.09","229.35","223.60","6.80M","0.11%"
"2007年11月30日","226.64","232.65","234.22","224.77","11.88M","1.01%"
"2007年11月29日","224.38","226.02","228.31","222.50","9.77M","-1.38%"
"2007年11月28日","227.52","217.58","227.86","214.69","15.71M","6.65%"
"2007年11月27日","213.33","210.00","213.98","206.19","11.95M","2.83%"
"2007年11月26日","207.45","214.65","217.45","205.42","9.81M","-4.17%"
"2007年11月23日","216.48","212.52","216.48","211.80","4.74M","3.33%"
"2007年11月21日","209.50","213.41","215.27","206.44","14.88M","-3.67%"
"2007年11月20日","217.48","220.40","226.23","213.50","13.44M","-1.39%"
"2007年11月19日","220.54","223.52","228.40","216.62","11.01M","-2.09%"
"2007年11月16日","225.25","228.26","229.57","222.57","10.08M","-0.78%"
"2007年11月15日","227.02","230.11","233.69","223.74","10.24M","-2.70%"
"2007年11月14日","233.31","239.75","240.05","231.04","13.94M","0.12%"
"2007年11月13日","233.04","220.94","233.04","218.34","17.40M","8.54%"
"2007年11月12日","214.71","210.90","221.19","208.24","14.41M","1.60%"
"2007年11月9日","211.33","202.57","218.59","202.57","16.99M","0.66%"
"2007年11月8日","209.94","213.67","218.00","201.57","20.30M","-1.98%"
"2007年11月7日","214.18","218.90","221.79","213.16","13.22M","-4.02%"
"2007年11月6日","223.16","221.74","224.07","213.59","15.58M","2.18%"
"2007年11月5日","218.39","220.00","224.90","212.80","21.38M","-4.88%"
"2007年11月2日","229.60","241.80","241.80","223.44","25.18M","-4.42%"
"2007年11月1日","240.21","243.55","244.41","238.75","12.58M","-3.11%"
"2007年10月31日","247.92","240.36","250.70","240.00","14.39M","3.16%"
"2007年10月30日","240.33","241.25","246.40","239.45","10.45M","-1.43%"
"2007年10月29日","243.81","236.22","244.98","235.07","9.90M","3.34%"
"2007年10月26日","235.92","232.86","236.99","229.36","9.39M","4.09%"
"2007年10月25日","226.66","224.11","230.00","221.81","12.09M","0.68%"
"2007年10月24日","225.12","222.76","225.82","215.80","12.65M","0.61%"
"2007年10月23日","223.76","223.63","225.87","220.91","8.18M","0.71%"
"2007年10月22日","222.18","216.52","224.25","213.00","12.17M","2.06%"
"2007年10月19日","217.69","226.15","227.47","217.60","13.11M","-4.46%"
"2007年10月18日","227.85","224.90","228.31","224.22","6.50M","0.10%"
"2007年10月17日","227.62","228.25","230.48","223.08","9.19M","1.24%"
"2007年10月16日","224.83","227.76","228.00","223.20","7.42M","-1.97%"
"2007年10月15日","229.34","233.25","234.31","227.42","7.03M","-1.81%"
"2007年10月12日","233.56","230.67","234.20","229.73","6.54M","1.99%"
"2007年10月11日","229.01","239.02","239.02","226.05","12.89M","-2.94%"
"2007年10月10日","235.94","237.11","239.03","234.90","9.69M","-1.36%"
"2007年10月9日","239.20","227.80","239.70","226.20","15.13M","5.39%"
"2007年10月8日","226.96","227.51","229.35","226.26","4.14M","-0.67%"
"2007年10月5日","228.50","227.11","229.72","225.96","7.34M","1.13%"
"2007年10月4日","225.95","227.55","229.25","223.89","10.05M","-0.62%"
"2007年10月3日","227.35","226.25","230.63","225.67","10.13M","-0.29%"
"2007年10月2日","228.02","223.25","228.50","222.11","9.42M","2.26%"
